id,x,y
1,116.429762,40.01495954
2,116.4297536,40.01434078
3,116.4297455,40.01315546
4,116.4297214,40.01224129
5,116.429708,40.01111346
6,116.4296919,40.01024035
7,116.4296784,40.00950694
8,116.4296865,40.0091659
9,116.4297809,40.00904424
10,116.4108626,40.03144836
11,116.4108034,40.03128789
12,116.4121243,40.04263283
13,116.4124911,40.04255202
14,116.4102203,40.02730058
15,116.4102291,40.02716182
16,116.4102827,40.02706118
17,116.4104141,40.02692505
18,116.4113728,40.03414477
19,116.4113965,40.03402039
20,116.4113751,40.03383042
21,116.4113161,40.03340839
22,116.4112879,40.03322356
23,116.4112624,40.03316914
24,116.4112276,40.03313423
25,116.4111578,40.03309829
26,116.4111176,40.03303976
27,116.4111028,40.03295054
28,116.4113875,40.03443496
29,116.4113831,40.03434795
30,116.4113509,40.0342771
31,116.4113875,40.03443496
32,116.4116645,40.03440135
33,116.4115877,40.03557262
34,116.4115762,40.03553701
35,116.4115695,40.03547437
36,116.411595,40.0353758
37,116.4115883,40.03531521
38,116.4115534,40.03525258
39,116.4115172,40.03518584
40,116.4115199,40.03513244
41,116.41154,40.03505132
42,116.4115548,40.0349815
43,116.4115306,40.034886
44,116.4114891,40.03477305
45,116.4114126,40.03467037
46,116.4113939,40.0345605
47,116.4113875,40.03443496
48,116.4096958,40.02694119
49,116.4098741,40.02679511
50,116.4099439,40.02671501
51,116.4099278,40.02654454
52,116.4098875,40.02624262
53,116.4119265,40.0401414
54,116.412226,40.04012361
55,116.4098332,40.02761588
56,116.4099358,40.02756942
57,116.409972,40.0275304
58,116.4101102,40.02737123
59,116.4102203,40.02730058
60,116.4148107,40.02146938
61,116.4150741,40.02135836
62,116.4155972,40.02119609
63,116.4164716,40.02092495
64,116.4167908,40.02084073
65,116.4169866,40.02070516
66,116.4170777,40.02054084
67,116.4171797,40.02030667
68,116.4172145,40.02002937
69,116.4171998,40.01932276
70,116.4098875,40.02624262
71,116.4099144,40.02602285
72,116.4099814,40.02586675
73,116.4100067,40.02580144
74,116.4104632,40.02847201
75,116.4104167,40.0283569
76,116.4103404,40.02822264
77,116.4102747,40.02811892
78,116.4372102,40.00776969
79,116.4374136,40.00775763
80,116.4375893,40.00773503
81,116.4376912,40.00773195
82,116.4378267,40.00775866
83,116.4379433,40.0077679
84,116.438115,40.00774838
85,116.4382303,40.00774838
86,116.4383256,40.00778947
87,116.4384556,40.00785111
88,116.4385079,40.0079035
89,116.4386005,40.00808223
90,116.4386823,40.00821372
91,116.4388638,40.00836033
92,116.4104649,40.02928877
93,116.4104879,40.02917151
94,116.4105159,40.02905725
95,116.4105429,40.02889527
96,116.4104864,40.02852942
97,116.4104632,40.02847201
98,116.4108034,40.03128789
99,116.4104903,40.03133515
100,116.4102747,40.02811892
101,116.4102343,40.02799748
102,116.4101893,40.02783915
103,116.4101781,40.02768761
104,116.4102318,40.02744423
105,116.4102203,40.02730058
106,116.429762,40.01495954
107,116.429858,40.01495476
108,116.4111635,40.03140601
109,116.4108626,40.03144836
110,116.4111624,40.03415211
111,116.4110677,40.0340778
112,116.4109477,40.03405746
113,116.4479967,40.00181016
114,116.4480257,40.0018107
115,116.4480428,40.00180664
116,116.4480553,40.00179877
117,116.4480797,40.00177815
118,116.4481507,40.00149817
119,116.4481775,40.00144475
120,116.4482118,40.00142768
121,116.4482687,40.00142831
122,116.4483795,40.00144716
123,116.4496575,40.00166458
124,116.4503706,40.00174858
125,116.4503706,40.00174858
126,116.4515327,40.00190269
127,116.4516434,40.00188221
128,116.4517614,40.00183701
129,116.4517882,40.00174249
130,116.4516022,40.00129779
131,116.4516022,40.00129779
132,116.4512571,40.00047271
133,116.4511552,40.00006589
134,116.4509728,39.99931798
135,116.4509728,39.99877964
136,116.4509513,39.99844677
137,116.4508441,39.99805226
138,116.4508119,39.99782624
139,116.4508816,39.99760021
140,116.4510908,39.99731666
141,116.4511713,39.99723447
142,116.4514127,39.99712351
143,116.4515575,39.99708858
144,116.4517426,39.99705159
145,116.4520189,39.99706392
146,116.4522254,39.9970783
147,116.4525687,39.9971194
148,116.4528047,39.99712556
149,116.4530676,39.99715207
150,116.4100067,40.02580144
151,116.4102283,40.02587629
152,116.4100067,40.02580144
153,116.4100216,40.02571887
154,116.4099948,40.025419
155,116.4099814,40.02515609
156,116.4100163,40.02499178
157,116.4101504,40.02477612
158,116.4103462,40.02452348
159,116.4104803,40.02437559
160,116.4107137,40.02420922
161,116.4108504,40.02413117
162,116.4111428,40.02394837
163,116.4113064,40.02379021
164,116.4114352,40.02361255
165,116.4114472,40.02357352
166,116.4114338,40.0235231
167,116.4097588,40.02304051
168,116.4094074,40.02289673
169,116.409103,40.02278992
170,116.4089322,40.02274299
171,116.4123489,40.04127393
172,116.4123655,40.04124275
173,116.4124594,40.04119758
174,116.4125935,40.04112571
175,116.4126927,40.0410333
176,116.4127624,40.0409142
177,116.4127705,40.04081564
178,116.4127464,40.04066368
179,116.4127034,40.0406185
180,116.412505,40.04055279
181,116.412336,40.04039467
182,116.412226,40.04017701
183,116.412226,40.04012361
184,116.4444409,40.00387008
185,116.4443926,40.00397281
186,116.4443015,40.00459329
187,116.4442746,40.00478847
188,116.4442639,40.00488915
189,116.4442639,40.00498571
190,116.4442237,40.00505556
191,116.4317904,40.00880467
192,116.4315028,40.00883161
193,116.424399,40.01503063
