x,y
116.335046,39.905603
116.335384,39.905615
116.349876,39.900162
116.349624,39.900629
116.349515,39.900828
116.349482,39.900873
116.34945,39.900908
116.349376,39.900963
116.399092,39.872374
116.398162,39.87235
116.397476,39.87233
116.396765,39.872294
116.396578,39.872279
116.396104,39.872291
116.393295,39.872186
116.393146,39.872174
116.392882,39.872166
116.392683,39.872159
116.391186,39.872107
116.390805,39.872094
116.390622,39.872075
116.390327,39.872046
116.390183,39.872007
116.389138,39.871943
116.38834,39.871877
116.388237,39.871878
116.387523,39.871856
116.38745,39.871826
116.387417,39.871823
116.387158,39.8718
116.386776,39.871781
116.385779,39.87172
116.384744,39.871656
116.382762,39.871512
116.382393,39.871444
116.38122,39.871356
116.378994,39.871189
116.376489,39.87099
116.375121,39.870889
116.373217,39.870755
116.370173,39.870531
116.369872,39.87051
116.368443,39.870391
116.368208,39.870375
116.366155,39.870236
116.36494,39.870155
116.363359,39.87005
116.361785,39.869938
116.360519,39.869849
116.359916,39.869806
116.358431,39.869663
116.357005,39.869544
116.356882,39.869534
116.356499,39.869513
116.356466,39.869509
116.356458,39.86951
116.356447,39.869511
116.356434,39.869516
116.356426,39.86952
116.35642,39.869525
116.35641,39.869545
116.356404,39.869566
116.355591,39.869514
116.355577,39.869505
116.355572,39.869494
116.355564,39.869459
116.355556,39.86944
116.355547,39.869432
116.355531,39.869428
116.355488,39.869424
116.354911,39.869395
116.354433,39.869379
116.354105,39.869351
116.352768,39.869238
116.352156,39.869246
116.351844,39.869191
116.351544,39.869202
116.351403,39.869227
116.351354,39.869252
116.351276,39.869296
116.351163,39.869359
116.351093,39.869447
116.351034,39.869555
116.350978,39.869791
116.350628,39.872903
116.350613,39.873043
116.350591,39.873239
116.350578,39.873351
116.350557,39.873536
116.350355,39.875356
116.350306,39.876571
116.35029,39.876931
116.350293,39.877063
116.350309,39.877201
116.35033,39.877327
116.350407,39.87759
116.349876,39.900162
116.349728,39.900003
116.349641,39.89989
116.349584,39.89981
116.349533,39.899732
116.349505,39.899663
116.349499,39.899579
116.349512,39.899216
116.349637,39.896898
116.349682,39.896202
116.349782,39.894656
116.349794,39.8944
116.349804,39.894188
116.349842,39.893388
116.349865,39.893051
116.349918,39.892444
116.349916,39.892047
116.349846,39.891383
116.349829,39.889921
116.349812,39.889282
116.349795,39.888261
116.349779,39.887078
116.349777,39.886907
116.349795,39.885378
116.349845,39.883501
116.349848,39.883338
116.349852,39.883156
116.349865,39.882808
116.350014,39.880624
116.350159,39.878779
116.350188,39.878529
116.350207,39.878366
116.350217,39.878298
116.350239,39.878197
116.350271,39.878074
116.350314,39.877936
116.350394,39.87779
116.348409,39.900194
116.348651,39.900087
116.34901,39.899775
116.349061,39.89942
116.349141,39.897255
116.349176,39.896676
116.349257,39.895735
116.349291,39.895105
116.349331,39.894372
116.349338,39.894238
116.349342,39.894173
116.349343,39.894153
116.349441,39.893781
116.34944,39.893735
116.349452,39.893563
116.349468,39.893371
116.349484,39.892039
116.349461,39.891716
116.349313,39.890092
116.349315,39.88989
116.349325,39.889034
116.349347,39.887394
116.349328,39.883558
116.349325,39.883315
