id,x,y
1,116.480566,39.953196
2,116.480647,39.953224
3,116.480835,39.953363
4,116.481252,39.953679
5,116.481297,39.953713
6,116.481343,39.95375
7,116.481397,39.953794
8,116.481918,39.954218
9,116.482083,39.954333
10,116.482279,39.954438
11,116.482436,39.954485
12,116.482575,39.954509
13,116.482694,39.954536
14,116.482907,39.954612
15,116.483004,39.954646
16,116.483359,39.954831
17,116.483781,39.955074
18,116.484125,39.955296
19,116.484246,39.955373
20,116.484577,39.955573
21,116.484912,39.955781
22,116.484997,39.955834
23,116.485077,39.955883
24,116.485298,39.956031
25,116.485432,39.95614
26,116.472331,39.949175
27,116.471769,39.94899
28,116.471576,39.948932
29,116.470981,39.948807
30,116.470575,39.948748
31,116.46971,39.948669
32,116.469086,39.948618
33,116.468623,39.948601
34,116.468587,39.948889
35,116.468775,39.9489
36,116.468949,39.948916
37,116.468969,39.948918
38,116.469106,39.948932
39,116.469281,39.94895
40,116.469444,39.948964
41,116.469777,39.948994
42,116.470038,39.949016
43,116.470903,39.94913
44,116.471161,39.949176
45,116.471674,39.9493
46,116.471885,39.949357
47,116.471921,39.949366
48,116.472134,39.949419
49,116.468564,39.949025
50,116.468347,39.948997
51,116.467705,39.948906
52,116.467079,39.948755
53,116.466813,39.948679
54,116.466684,39.948653
55,116.466561,39.948646
56,116.466439,39.948635
57,116.480566,39.953196
58,116.480486,39.953168
59,116.48038,39.95312
60,116.480079,39.953021
61,116.479971,39.95297
62,116.479593,39.95283
63,116.479395,39.952693
64,116.479115,39.952549
65,116.478603,39.952277
66,116.477922,39.951859
67,116.477777,39.951765
68,116.485432,39.95614
69,116.48549,39.956195
70,116.48577,39.956405
71,116.485961,39.95657
72,116.486036,39.956641
73,116.486253,39.956818
74,116.486404,39.956924
75,116.486744,39.957113
76,116.487333,39.95728
77,116.466035,39.948019
78,116.465932,39.948001
79,116.465518,39.947923
80,116.464865,39.94779
81,116.464384,39.947711
82,116.464099,39.947673
83,116.463969,39.947654
84,116.463819,39.947623
85,116.46363,39.947573
86,116.463534,39.947556
87,116.462801,39.947437
88,116.462626,39.947414
89,116.462518,39.947394
90,116.462369,39.947371
91,116.462041,39.947382
92,116.472475,39.94914
93,116.472607,39.949199
94,116.472791,39.949284
95,116.472996,39.949449
96,116.473305,39.949562
97,116.47356,39.949659
98,116.473962,39.949804
99,116.474259,39.949924
100,116.474416,39.949984
101,116.474535,39.95003
102,116.474627,39.950067
103,116.474979,39.950202
104,116.475251,39.950295
