id,x,y
1,116.362501,39.946001
2,116.362466,39.946127
3,116.362121,39.94603
4,116.359047,39.944835
5,116.359163,39.94487
6,116.359382,39.944931
7,116.359794,39.94504
8,116.35644,39.944808
9,116.356408,39.944524
10,116.356387,39.944121
11,116.364788,39.946797
12,116.364797,39.946801
13,116.364859,39.946827
14,116.364874,39.946834
15,116.365351,39.946964
16,116.359047,39.944835
17,116.358941,39.945046
18,116.356543,39.944838
19,116.356641,39.944878
20,116.356959,39.94489
21,116.357104,39.944873
22,116.357192,39.944837
23,116.357216,39.944817
24,116.357222,39.944813
25,116.357256,39.944787
26,116.357282,39.944781
27,116.357321,39.944774
28,116.35745,39.94479
29,116.35762,39.944819
30,116.357701,39.944807
31,116.357769,39.944797
32,116.357836,39.944807
33,116.357919,39.944807
34,116.357926,39.944811
35,116.357996,39.944851
36,116.358038,39.944873
37,116.358079,39.944887
38,116.358108,39.944897
39,116.358188,39.944899
40,116.358233,39.94491
41,116.358268,39.94492
42,116.358384,39.944907
43,116.358475,39.94492
44,116.358504,39.944924
45,116.358578,39.944964
46,116.358617,39.944972
47,116.358691,39.944963
48,116.358775,39.94498
49,116.358941,39.945046
50,116.364788,39.946797
51,116.364704,39.946768
52,116.363941,39.946449
53,116.363877,39.94641
54,116.363841,39.946387
55,116.363713,39.946355
56,116.362581,39.946035
57,116.362501,39.946001
58,116.365351,39.946964
59,116.365579,39.947094
60,116.365733,39.947152
61,116.365965,39.947206
62,116.366077,39.947255
63,116.366171,39.947295
64,116.366228,39.947318
65,116.366237,39.947322
66,116.362121,39.94603
67,116.361912,39.945911
68,116.361827,39.945888
69,116.361729,39.945849
70,116.361706,39.945779
71,116.361604,39.945779
72,116.361483,39.945806
73,116.361366,39.945787
74,116.361285,39.94572
75,116.361226,39.945658
76,116.361113,39.945642
77,116.360992,39.945658
78,116.360817,39.94563
79,116.360782,39.945568
80,116.360626,39.94548
81,116.360497,39.945455
82,116.360369,39.945449
83,116.360238,39.945462
84,116.360074,39.945423
85,116.359974,39.945385
86,116.359873,39.94533
87,116.35986,39.945312
88,116.359781,39.945162
89,116.359794,39.94504
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
