id,x,y
1,116.434969,39.927037
2,116.434868,39.927038
3,116.43463,39.927052
4,116.434633,39.926947
5,116.434863,39.926938
6,116.435049,39.926934
7,116.436612,39.908829
8,116.436638,39.908793
9,116.43669,39.908733
10,116.436703,39.90871
11,116.436714,39.908676
12,116.436729,39.908512
13,116.436727,39.908424
14,116.436716,39.908377
15,116.436699,39.908341
16,116.436664,39.908292
17,116.436635,39.90824
18,116.43661,39.908186
19,116.436591,39.908137
20,116.436577,39.908059
21,116.436579,39.908004
22,116.436583,39.9079
23,116.436589,39.907733
24,116.436593,39.907636
25,116.436598,39.907519
26,116.4366,39.907442
27,116.436602,39.907395
28,116.4366,39.907369
29,116.436591,39.907265
30,116.436573,39.907171
31,116.436559,39.9071
32,116.436553,39.907077
33,116.436548,39.907063
34,116.436497,39.906929
35,116.43644,39.906824
36,116.436399,39.906751
37,116.436335,39.906637
38,116.436269,39.906519
39,116.436227,39.906425
40,116.436176,39.906308
41,116.43617,39.906287
42,116.436153,39.906222
43,116.436145,39.906148
44,116.436143,39.906005
45,116.436167,39.905876
46,116.436192,39.905723
47,116.436196,39.905696
48,116.436237,39.905532
49,116.43626,39.905403
50,116.436304,39.905155
51,116.436365,39.904809
52,116.436463,39.904243
53,116.43648,39.904157
54,116.436496,39.904067
55,116.436504,39.90403
56,116.436549,39.90381
57,116.436568,39.903753
58,116.436599,39.903699
59,116.436603,39.903692
60,116.436671,39.903613
61,116.43676,39.903545
62,116.436835,39.903508
63,116.436854,39.903501
64,116.437,39.903466
65,116.437081,39.903454
66,116.437176,39.903447
67,116.437817,39.903442
68,116.43811,39.903441
69,116.43881,39.903436
70,116.438811,39.903323
71,116.438806,39.90329
72,116.438795,39.903256
73,116.438781,39.903238
74,116.438759,39.903221
75,116.438724,39.903203
76,116.438698,39.903196
77,116.438671,39.903193
78,116.438615,39.903188
79,116.438366,39.903188
80,116.434896,39.921085
81,116.434916,39.920698
82,116.436738,39.902989
83,116.436723,39.902913
84,116.436687,39.902464
85,116.436627,39.902031
86,116.434861,39.922228
87,116.434891,39.921899
88,116.436738,39.902989
89,116.436819,39.902999
90,116.436996,39.903017
91,116.43703,39.903027
92,116.437094,39.90306
93,116.437139,39.903085
94,116.437206,39.903108
95,116.437242,39.903112
96,116.437419,39.903108
97,116.437561,39.903094
98,116.437762,39.903039
99,116.437959,39.902989
100,116.438195,39.902951
101,116.438335,39.90294
102,116.438366,39.903188
103,116.432637,39.950435
104,116.432495,39.950177
105,116.434437,39.94906
106,116.434471,39.949142
107,116.434526,39.949299
108,116.434503,39.949824
109,116.434496,39.949865
110,116.434453,39.949973
111,116.434407,39.95006
112,116.434323,39.950172
113,116.434266,39.950227
114,116.434227,39.95026
115,116.43417,39.950304
116,116.434136,39.950326
117,116.434063,39.950369
118,116.434005,39.950398
119,116.433936,39.950425
120,116.433784,39.950467
121,116.433689,39.95049
122,116.433515,39.950514
123,116.445236,39.881633
124,116.44558,39.881687
125,116.434916,39.920698
126,116.435175,39.920697
127,116.436365,39.904809
128,116.436425,39.904751
129,116.436474,39.904709
130,116.436511,39.904684
131,116.436545,39.904653
132,116.43656,39.904628
133,116.43657,39.90457
134,116.43658,39.904449
135,116.436566,39.904395
136,116.436533,39.904341
137,116.436463,39.904243
138,116.436612,39.908829
139,116.436652,39.909044
140,116.436649,39.909179
141,116.436653,39.909511
142,116.43663,39.909963
143,116.436604,39.910078
144,116.436571,39.910154
145,116.436481,39.910304
146,116.436242,39.910603
147,116.436149,39.910774
148,116.436106,39.910891
149,116.436079,39.91102
150,116.436058,39.911266
151,116.435975,39.911727
152,116.435941,39.911883
153,116.435763,39.912448
154,116.435713,39.912593
155,116.435604,39.912907
156,116.435564,39.913026
157,116.435516,39.913129
158,116.435397,39.913253
159,116.435478,39.913729
160,116.435483,39.91382
161,116.435461,39.914064
162,116.43541,39.914243
163,116.435373,39.9143
164,116.435353,39.914345
165,116.435349,39.914398
166,116.435415,39.91464
167,116.435436,39.914757
168,116.435447,39.914833
169,116.43537,39.915369
170,116.435349,39.91565
171,116.435343,39.916063
172,116.435345,39.916082
173,116.435367,39.916086
174,116.435388,39.916096
175,116.435412,39.916111
176,116.435427,39.91614
177,116.435429,39.916158
178,116.435414,39.916181
179,116.435396,39.916199
180,116.435376,39.916211
181,116.435368,39.916214
182,116.435414,39.916299
183,116.435371,39.916363
184,116.435357,39.91637
185,116.435298,39.916387
186,116.435283,39.916601
187,116.435406,39.916969
188,116.435415,39.917095
189,116.43538,39.917183
190,116.435369,39.917297
191,116.435368,39.917468
192,116.435378,39.917587
193,116.435337,39.917727
194,116.435273,39.917881
195,116.435265,39.917973
196,116.435267,39.917982
197,116.435302,39.918109
198,116.435332,39.918233
199,116.435324,39.918333
200,116.435294,39.918461
201,116.435336,39.918681
202,116.435269,39.918898
203,116.435261,39.919007
204,116.435269,39.919089
205,116.435299,39.919217
206,116.43532,39.919328
207,116.435314,39.919394
208,116.435258,39.919548
209,116.435255,39.919616
210,116.435276,39.919701
211,116.435279,39.919733
212,116.435262,39.919831
213,116.435298,39.919978
214,116.435298,39.920085
215,116.435281,39.920189
216,116.435262,39.920273
217,116.435262,39.920349
218,116.435258,39.920463
219,116.435232,39.920591
220,116.435175,39.920697
221,116.440897,39.902824
222,116.44078,39.903063
223,116.44076,39.903057
224,116.440563,39.902994
225,116.4405,39.902978
226,116.440175,39.903119
227,116.439966,39.903164
228,116.439553,39.903129
229,116.439156,39.903117
230,116.438936,39.903158
231,116.438759,39.903221
232,116.435477,39.924293
233,116.435274,39.924193
234,116.435217,39.92415
235,116.43518,39.924107
236,116.435148,39.924049
237,116.435124,39.923969
238,116.435124,39.923878
239,116.435129,39.923806
240,116.435142,39.923675
241,116.435158,39.923535
242,116.435195,39.923278
243,116.435191,39.923097
244,116.435159,39.922828
245,116.43507,39.922608
246,116.43499,39.92245
247,116.434861,39.922228
248,116.434907,39.928661
249,116.434858,39.928571
250,116.434862,39.928399
251,116.434969,39.927037
252,116.434891,39.921899
253,116.435005,39.921826
254,116.435041,39.921802
255,116.435081,39.92178
256,116.43512,39.921729
257,116.43514,39.921671
258,116.435156,39.921535
259,116.435113,39.921383
260,116.435062,39.921285
261,116.434896,39.921085
262,116.435049,39.926934
263,116.435177,39.926823
264,116.43523,39.926733
265,116.435254,39.926634
266,116.435257,39.926519
267,116.435209,39.926399
268,116.435214,39.92635
269,116.43523,39.926322
270,116.435276,39.926253
271,116.43533,39.92614
272,116.435348,39.925988
273,116.435336,39.925904
274,116.435316,39.92584
275,116.435258,39.925754
276,116.435113,39.925609
277,116.435196,39.925555
278,116.435271,39.925471
279,116.435319,39.925378
280,116.435346,39.925253
281,116.435322,39.925173
282,116.435311,39.925103
283,116.43533,39.925033
284,116.435352,39.924965
285,116.435453,39.924779
286,116.444312,39.890052
287,116.444375,39.889553
288,116.444475,39.888833
289,116.444635,39.887451
290,116.444764,39.886396
291,116.444814,39.885904
292,116.444909,39.885149
293,116.444927,39.885003
294,116.444987,39.884661
295,116.445008,39.884537
296,116.445024,39.884446
297,116.445046,39.884315
298,116.445079,39.884071
299,116.445208,39.883097
300,116.445264,39.8827
301,116.445316,39.882444
302,116.445382,39.882241
303,116.445448,39.882042
304,116.44558,39.881687
305,116.445654,39.881233
306,116.443926,39.872833
307,116.443934,39.872874
308,116.444237,39.874577
309,116.444278,39.874752
310,116.444283,39.874774
311,116.444324,39.874954
312,116.444383,39.875209
313,116.444464,39.875519
314,116.444511,39.875675
315,116.444619,39.875934
316,116.444863,39.87636
317,116.445132,39.87685
318,116.445225,39.87702
319,116.44538,39.877301
320,116.445686,39.877882
321,116.44573,39.87799
322,116.445763,39.878069
323,116.445792,39.878178
324,116.445824,39.878289
325,116.445863,39.878482
326,116.445878,39.878594
327,116.445907,39.878929
328,116.445909,39.879029
329,116.44591,39.879079
330,116.445913,39.87922
331,116.445888,39.879407
332,116.445857,39.87957
333,116.44563,39.880796
334,116.445604,39.880912
335,116.445604,39.880956
336,116.44561,39.881009
337,116.445654,39.881233
338,116.430219,39.950315
339,116.430633,39.950327
340,116.430744,39.950313
341,116.430865,39.950323
342,116.430933,39.950315
343,116.431022,39.950295
344,116.432147,39.950307
345,116.432423,39.9503
346,116.43289,39.950288
347,116.43299,39.950291
348,116.433205,39.950283
349,116.433327,39.950272
350,116.433475,39.950242
351,116.445654,39.881233
352,116.44565,39.880962
353,116.445743,39.880503
354,116.44581,39.880173
355,116.44594,39.879573
356,116.445988,39.879187
357,116.445987,39.879155
